id,name,category,label,rule_code,matched_terms,comment
3828,"Магний глицинат, 180 таблеток",БАД,1,bad_acronym,бад,Товар отнесён к БАД: в названии или описании найдена прямая маркировка «бад». Карточка соответствует заданному правилу категории.
9289,Цистэль Пренатал GLS капсулы 550мг 30шт,БАД,1,bad_full_name,биологически активные добавки,Товар отнесён к БАД: в названии или описании найдена прямая маркировка «биологически активные добавки». Карточка соответствует заданному правилу категории.
12110,Таурин 60 капсул,БАД,0,bad_explicit_negative,не является бад,"Товар не относится к БАД: в карточке найдено прямое указание «не является бад», исключающее принадлежность товара к биологически активным добавкам."
9435,"Аминокислотный комплекс с энергетиком Siberian Nutrogunz, экзотик, 225 г",БАД,0,sports_nutrition,спортивное питание|аминокислотный|бцаа,"Товар не относится к БАД: признак «спортивное питание» указывает на спортивное питание, которое по заданному правилу исключено из категории БАД."
770,"Шейкер спортивный, 800 мл",БАД,0,sports_protein,протеина,"Товар не относится к БАД: признак «протеина» указывает на спортивное питание, которое по заданному правилу исключено из категории БАД."
1265,Спички ЛЮКС наполнением 1100шт. ПЭТ-контейнер ФЭСКО МИКС,Легковоспламеняющиеся,1,flammable_matches,спички,"Товар отнесён к легковоспламеняющимся: признак «спички» указывает на источник воспламенения, горючее вещество или горючий газ."
10746,"Подарочный набор на 23 февраля (ручка, брелок, зажигалка)",Легковоспламеняющиеся,1,flammable_lighter,зажигалка,"Товар отнесён к легковоспламеняющимся: признак «зажигалка» указывает на источник воспламенения, горючее вещество или горючий газ."
11962,"СИБИАР / Газ для заправки зажигалок, газовый баллон, универсальный переходник, 180 мл.",Легковоспламеняющиеся,1,flammable_gas_container,газовый баллон,"Товар отнесён к легковоспламеняющимся: признак «газовый баллон» указывает на источник воспламенения, горючее вещество или горючий газ."
18250,Портативная газовая плита В-806B (поставляется без газового баллона),Легковоспламеняющиеся,0,flammable_absent_content,без газового баллона,"Товар не отнесён к легковоспламеняющимся: указание «без газового баллона» подтверждает, что горючее содержимое отсутствует или не входит в комплект."
3113,Туристическая газовая плита,Легковоспламеняющиеся,0,flammable_device,газовая плита,"Товар не отнесён к легковоспламеняющимся: «газовая плита» обозначает устройство для работы с огнём, но горючее содержимое в карточке не указано."
