id,name,description,label,prediction,probability_quality_1,distance_from_threshold,rule_label,rule_codes,rule_terms
13034,Адвент календарь для дома для девушек/ Подарочный набор новогодний на рождество/ advent,"представляем вам очаровательный адвент-календарь с предметами для украшения дома, который создаст праздничное настроение в преддверии нового года. в подарок к каждому календарю идет набор праздничных заданий на каждый день. что внутри? наш календарь состоит из 10 домиков-подарков (собираются самосто",1,0,0.00011144736666481325,0.49988855263333515,1,flammable_lighter,зажигалка
17448,Биокамин настольный Zefire Rock,"настольный биокамин zefire rock – это современный мини-очаг, вызывающий самые теплые чувства и воспоминания о дарителе. его пламя горит без дров и золы, не оставляет дыма и копоти. в фирменной упаковке из плотного картона помещается сам биокамин и миниатюрный набор аксессуаров: спички и биотопливо. ",1,0,0.0012032575955051937,0.49879674240449473,1,flammable_matches|flammable_coal_or_wood,спички|дров
2698,Подарочный набор *Верь в чудеса*,"подарочный набор для девушки/парня, женщины/мужчины, мамы/папы, любимой/любимого, подруги/друга коллеги на новый год 🎄!внутри коробочки 10 конвертов шутливого содержания и наполнения.например, такие конверты:- открой, когда хочешь зажечь - внутри бенгальские огни 🎆 - открой, когда все лень - внутри ",1,0,0.0016895107851487218,0.4983104892148512,0,,
15914,"Горелка порт. ""Следопыт-GTP-N07"" ","газовая мини-горелка портативный аксессуар имеет ряд особенностей: удобно держать в руке; пьезоподжиг одним нажатием; можно заправить обычным газом для зажигалок. использовать газовую мини-горелку можно при выжигании, прокалывании резьбовых соединений, при работе с медными припоями, в создании декор",1,0,0.008344676505821916,0.491655323494178,1,flammable_fuel,топлива
1864,Набор игрушечного оружия 0528-E5 в пакете / 388657,набор игрушечного оружия 0528-e5 в пакете / 388657. • в наборе: - ракетница с пружинным механизмом (35х3х14 см.) - 2 пластиковых снаряда. - рация. - полицейский жетон. • материал: пластик. • соответствует требованиям безопасности продукции. • для детей от 3-х лет.,0,1,0.9865855690562519,0.486585569056252,0,,
2532,"Мандариновый фейерверк - аромакубики Аурасо, воск для аромалампы, 9 штук","арома-кубики аурасо из натуральных материалов для аромалампы (рекомендуется аромалампа со свечой). набор содержит 9 кубиков, каждый из которых наполнен ароматом «мандариновый фейерверк». в коллекции ароматизированных кубиков аурасо больше 1000 (тысячи) различных ароматов для самого разного настроени",0,1,0.984860078298289,0.4848600782982891,0,,
10419,Наружная пьезоэлектрическая горелка c турбонаддувом,пьезоэлектрическая горелка с турбонаддувом – идеальный спутник для активных вылазок! благодаря инновационному механизму турбинного усиления воздуха она моментально создаст мощное пламя даже в сложных условиях. прочный корпус и миниатюрные габариты позволяют брать устройство с собой куда угодно – в п,1,0,0.026825188961340302,0.47317481103865966,0,flammable_device,горелка
923,Зажигалка прикол шок,"зажигалка прикол шок - это уникальный аксессуар, который станет отличным подарком для любого человека. она выполнена из высококачественного материала и имеет стильный дизайн, благодаря чему она будет выглядеть очень эффектно в любой ситуации. зажигалка прикол шок - безопасный розыгрыш. при нажатии н",0,1,0.9680395840487005,0.46803958404870055,1,flammable_lighter,зажигалка
5499,"Дымогенератор ""Hobbi Smoke"" 1.0, 1 л","особенности мини-дымогенератора ""hobbi smoke 1.0"", 1 л: сверхкомпактная недорогая модель с литровым бункером для щепы; при полной загрузке щепой непрерывно генерирует дым до 3-х часов; электрический воздушный компрессор с плавной регулировкой тяги; может заполнить дымом любой коптильный шкаф объемом",1,0,0.034794941385872816,0.46520505861412714,1,flammable_lighter,зажигалка
479,Горелка-насадка газовая PRO ТМ Кабан + 4 цанговых баллона с газом TRUCKER по 220 гр,"комплект №27 горелка-насадка газовая pro тм кабан- 07 + trucker газ всесезонный углеводородный сжиженный в цанговом баллоне 220 г*4 штуки это профессиональное устройство, способное конкурировать с газовым резаком или сваркой. ее преимущества проявляются в подвижности: она легкая, компактная и всегда",1,0,0.047069792593262515,0.45293020740673745,1,flammable_matches|flammable_lighter|flammable_gas_container,спички|зажигалка|баллона с газом
16586,"Роллы для розжига мангалов, барбекю, каминов и печей со спичкой 3 шт. в уп.","с помощью различных принадлежностей для розжига boyscout растопка гриля, котла, печи, бани, камина станет простым и безопасным делом. брикетированный уголь, топливные брикеты и роллы для розжига, поленья длительного горения – это удобные и практичные средства для дачников, туристов, рыбаков и охотни",1,0,0.047309604546613204,0.45269039545338674,1,flammable_fuel|flammable_coal_or_wood,топливные|топливные брикеты
3213,Походный подарочный набор в деревянном ящичке,"если вы хотите купить подарок для папы, мужа, дедушки, брата, любимого человека или коллеги, то походный подарочный набор в деревянном ящичке именно то, что нужно! данный набор выполнен в брутальном стиле и не оставит равнодушным ни одного представителя сильного пола. комплектация переносного ящичка",1,0,0.051942238321498316,0.44805776167850164,1,flammable_lighter|flammable_fuel,зажигалка|бензиновая
1733,Набор для зажигалки,кремни и фитиль для бензиновых зажигалоккремни и фитиль для бензиновых зажигалок zippo и других аналогов - это необходимый комплект для продления службы вашей зажигалки.ремкомплект включает: 7 кремней и фитиль длиной 12 см.если ваша зажигалка перестала зажигаться:-достаньте старый фитиль и кремень и,0,1,0.8971576658953672,0.3971576658953672,1,flammable_lighter|flammable_fuel,зажигалки|бензиновых
